Date,Team,Home,Opp,W_or_L,R,RA,W_L,Rank,GB,Win,Loss,Save,Time,D_N,Attendance
2023-08-13,PHI,Home,MIN,L,0,3,65-54,2,11,Gray,Suárez,Duran,2:40,Day,40111
2023-08-15,PHI,Away,TOR,L,1,2,65-55,2,12.5,Hicks,Domínguez,Romano,2:30,Night,42615
2023-08-16,PHI,Away,TOR,W,9,4,66-55,2,12.5,Nola,Gausman,NA,2:51,Night,42701
2023-08-18,PHI,Away,WSN,L,7,8,66-56,2,13.5,Ferrer,Lorenzen,Finnegan,2:42,Night,26747
2023-08-19,PHI,Away,WSN,W,12,3,67-56,2,13.5,Domínguez,Abbott,NA,2:38,Day,38853
2023-08-20,PHI,Away,WSN,L,3,4,67-57,2,13.5,Williams,Wheeler,Finnegan,2:26,Night,2473
2023-08-21,PHI,Home,SFG,W,10,4,68-57,2,12.5,Nola,Manaea,NA,2:44,Night,36274
2023-08-22,PHI,Home,SFG,W-wo,4,3,69-57,2,12.5,Kimbrel,Doval,NA,2:54,Night,40420
2023-08-23,PHI,Home,SFG,L,6,8,69-58,2,13.5,Junis,Kimbrel,Walker,3:38,Day,33035
2023-08-25,PHI,Home,STL,W,7,2,70-58,2,13.5,Sánchez,Mikolas,NA,2:18,Night,34118
2023-08-26,PHI,Home,STL,W,12,1,71-58,2,13.5,Wheeler,Hudson,NA,2:41,Night,44097
2023-08-27,PHI,Home,STL,W,3,0,72-58,2,12.5,Nola,Rom,Kimbrel,2:42,Day,41141
2023-08-28,PHI,Home,LAA,W,6,4,73-58,2,12.5,Walker,Giolito,Kimbrel,2:37,Night,38142
2023-08-29,PHI,Home,LAA,W,12,7,74-58,2,12.5,Lorenzen,Anderson,NA,2:35,Night,36096
2023-08-30,PHI,Home,LAA,L,8,10,74-59,2,13.5,Moore,Kimbrel,Estévez,3:03,Day,34655
2023-09-01,PHI,Away,MIL,L,5,7,74-60,2,15,Williams,Alvarado,NA,2:34,Night,32519
2023-09-02,PHI,Away,MIL,L,5,7,74-61,2,16,Chafin,Nola,Williams,3:01,Night,35253
2023-09-03,PHI,Away,MIL,W,4,2,75-61,2,15,Domínguez,Miley,Kimbrel,2:41,Day,33473
2023-09-04,PHI,Away,SDP,W,9,7,76-61,2,14.5,Walker,Hill,Alvarado,3:31,Day,39719
2023-09-05,PHI,Away,SDP,L,0,8,76-62,2,14.5,Avila,Lorenzen,NA,2:14,Night,42970
2023-09-06,PHI,Away,SDP,W,5,1,77-62,2,13.5,Wheeler,Wacha,NA,3:00,Day,34317
2023-09-08,PHI,Home,MIA,L,2,3,77-63,2,15,Robertson,Strahm,Scott,2:44,Night,40190
2023-09-09,PHI,Home,MIA,W,8,4,78-63,2,14,Hoffman,Cueto,NA,3:07,Night,40899
2023-09-10,PHI,Home,MIA,L,4,5,78-64,2,15,Robertson,Domínguez,Scott,3:02,Day,40894
2023-09-11,PHI,Home,ATL,L,8,10,78-65,2,15,Iglesias,Alvarado,Yates,3:08,Day,30572
2023-09-11,PHI,Home,ATL,W,7,5,79-65,2,15,Lorenzen,Wright,Kimbrel,2:43,Night,27025
2023-09-12,PHI,Home,ATL,L,6,7,79-66,2,16,Iglesias,Kimbrel,Hand,3:28,Night,28683
2023-09-13,PHI,Home,ATL,L,1,4,79-67,2,17,Strider,Sánchez,Yates,2:20,Night,31133
2023-09-15,PHI,Away,STL,W,5,4,80-67,2,16,Strahm,Thompson,Alvarado,3:26,Night,42166
2023-09-16,PHI,Away,STL,W,6,1,81-67,2,15,Suárez,Mikolas,NA,2:42,Night,42817
2023-09-17,PHI,Away,STL,L,5,6,81-68,2,15,King,Domínguez,Helsley,2:26,Day,40996
2023-09-18,PHI,Away,ATL,W,7,1,82-68,2,14,Wheeler,Wright,NA,2:31,Night,39216
2023-09-19,PHI,Away,ATL,L,3,9,82-69,2,15,Strider,Sánchez,NA,2:30,Night,40695
2023-09-20,PHI,Away,ATL,W,6,5,83-69,2,14,Kimbrel,Minter,Strahm,3:06,Day,38856
2023-09-21,PHI,Home,NYM,W,5,4,84-69,2,14,Suárez,Brigham,Alvarado,2:48,Night,30116
2023-09-22,PHI,Home,NYM,W-wo,5,4,85-69,2,14,Domínguez,Ottavino,NA,3:09,Night,38795
2023-09-23,PHI,Home,NYM,W,7,5,86-69,2,13.5,Wheeler,Quintana,Alvarado,2:31,Day,40388
2023-09-24,PHI,Home,NYM,W,5,2,87-69,2,13,Sánchez,Butto,Lorenzen,2:24,Night,41139
2023-09-26,PHI,Home,PIT,W-wo,3,2,88-69,2,13,Hoffman,Bednar,NA,2:49,Night,32116
2023-09-27,PHI,Home,PIT,W,7,6,89-69,2,13,Kerkering,Hernandez,Soto,2:39,Night,31388
